127.0.0.1 [30/Apr/2022:00:40:32 -0700] PUBLISH "live" "1" "" - 17982691 529 "" "FMLE/3.0 (compatible; FMSc/1.0)" (55s)
192.168.1.109 - - [30/Apr/2022:00:44:12 -0700] "GET /viewer.html HTTP/1.1" 200 467 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/101.0.4951.41 Safari/537.36 Edg/101.0.1210.32"
192.168.1.109 - - [30/Apr/2022:00:44:12 -0700] "GET /js/video-js.css HTTP/1.1" 200 45440 "http://192.168.1.109/viewer.html" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/101.0.4951.41 Safari/537.36 Edg/101.0.1210.32"
192.168.1.109 - - [30/Apr/2022:00:44:12 -0700] "GET /js/video.js HTTP/1.1" 200 2030117 "http://192.168.1.109/viewer.html" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/101.0.4951.41 Safari/537.36 Edg/101.0.1210.32"
192.168.1.109 - - [30/Apr/2022:00:44:13 -0700] "GET /hls/stream1.m3u8 HTTP/1.1" 404 581 "http://192.168.1.109/viewer.html" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/101.0.4951.41 Safari/537.36 Edg/101.0.1210.32"
192.168.1.109 - - [30/Apr/2022:00:44:13 -0700] "GET /favicon.ico HTTP/1.1" 404 581 "http://192.168.1.109/viewer.html" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/101.0.4951.41 Safari/537.36 Edg/101.0.1210.32"
192.168.1.109 - - [30/Apr/2022:00:44:57 -0700] "GET /viewer.html HTTP/1.1" 200 466 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/101.0.4951.41 Safari/537.36 Edg/101.0.1210.32"
192.168.1.109 - - [30/Apr/2022:00:44:57 -0700] "GET /js/video-js.css HTTP/1.1" 304 0 "http://192.168.1.109/viewer.html" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/101.0.4951.41 Safari/537.36 Edg/101.0.1210.32"
192.168.1.109 - - [30/Apr/2022:00:44:57 -0700] "GET /js/video.js HTTP/1.1" 304 0 "http://192.168.1.109/viewer.html" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/101.0.4951.41 Safari/537.36 Edg/101.0.1210.32"
192.168.1.109 - - [30/Apr/2022:00:44:57 -0700] "GET /hls/stream.m3u8 HTTP/1.1" 404 581 "http://192.168.1.109/viewer.html" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/101.0.4951.41 Safari/537.36 Edg/101.0.1210.32"
192.168.1.109 - - [30/Apr/2022:00:45:00 -0700] "GET /viewer.html HTTP/1.1" 304 0 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/101.0.4951.41 Safari/537.36 Edg/101.0.1210.32"
192.168.1.109 - - [30/Apr/2022:00:45:00 -0700] "GET /js/video-js.css HTTP/1.1" 304 0 "http://192.168.1.109/viewer.html" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/101.0.4951.41 Safari/537.36 Edg/101.0.1210.32"
192.168.1.109 - - [30/Apr/2022:00:45:00 -0700] "GET /js/video.js HTTP/1.1" 304 0 "http://192.168.1.109/viewer.html" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/101.0.4951.41 Safari/537.36 Edg/101.0.1210.32"
192.168.1.109 - - [30/Apr/2022:00:45:00 -0700] "GET /hls/stream.m3u8 HTTP/1.1" 404 581 "http://192.168.1.109/viewer.html" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/101.0.4951.41 Safari/537.36 Edg/101.0.1210.32"
127.0.0.1 [30/Apr/2022:00:45:10 -0700] PUBLISH "live" "1" "" - 85757813 529 "" "FMLE/3.0 (compatible; FMSc/1.0)" (4m 19s)
192.168.1.109 - - [30/Apr/2022:00:45:25 -0700] "GET /viewer.html HTTP/1.1" 304 0 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/101.0.4951.41 Safari/537.36 Edg/101.0.1210.32"
192.168.1.109 - - [30/Apr/2022:00:45:25 -0700] "GET /js/video-js.css HTTP/1.1" 304 0 "http://192.168.1.109/viewer.html" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/101.0.4951.41 Safari/537.36 Edg/101.0.1210.32"
192.168.1.109 - - [30/Apr/2022:00:45:25 -0700] "GET /js/video.js HTTP/1.1" 304 0 "http://192.168.1.109/viewer.html" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/101.0.4951.41 Safari/537.36 Edg/101.0.1210.32"
192.168.1.109 - - [30/Apr/2022:00:45:25 -0700] "GET /hls/stream.m3u8 HTTP/1.1" 404 581 "http://192.168.1.109/viewer.html" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/101.0.4951.41 Safari/537.36 Edg/101.0.1210.32"
192.168.1.109 - - [30/Apr/2022:00:48:56 -0700] "GET /viewer.html HTTP/1.1" 200 467 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/101.0.4951.41 Safari/537.36 Edg/101.0.1210.32"
192.168.1.109 - - [30/Apr/2022:00:48:56 -0700] "GET /js/video-js.css HTTP/1.1" 304 0 "http://192.168.1.109/viewer.html" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/101.0.4951.41 Safari/537.36 Edg/101.0.1210.32"
192.168.1.109 - - [30/Apr/2022:00:48:56 -0700] "GET /js/video.js HTTP/1.1" 304 0 "http://192.168.1.109/viewer.html" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/101.0.4951.41 Safari/537.36 Edg/101.0.1210.32"
192.168.1.109 - - [30/Apr/2022:00:48:56 -0700] "GET /hls/stream1.m3u8 HTTP/1.1" 404 581 "http://192.168.1.109/viewer.html" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/101.0.4951.41 Safari/537.36 Edg/101.0.1210.32"
127.0.0.1 [30/Apr/2022:00:49:04 -0700] PUBLISH "live" "1" "" - 74884797 529 "" "FMLE/3.0 (compatible; FMSc/1.0)" (3m 45s)
192.168.1.109 - - [30/Apr/2022:00:49:14 -0700] "GET /viewer.html HTTP/1.1" 304 0 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/101.0.4951.41 Safari/537.36 Edg/101.0.1210.32"
